image,at_edge_y_channel_srec_better,at_edge_y_channel_flif_scanline_better,not_at_edge_y_channel_srec_better,not_at_edge_y_channel_flif_scanline_better,at_edge_co_channel_srec_better,at_edge_co_channel_flif_scanline_better,not_at_edge_co_channel_srec_better,not_at_edge_co_channel_flif_scanline_better,at_edge_cg_channel_srec_better,at_edge_cg_channel_flif_scanline_better,not_at_edge_cg_channel_srec_better,not_at_edge_cg_channel_flif_scanline_better
kodim03,0.8312157834934407,0.08873050304720587,0.6594939184168329,0.08382807305721772,0.3648383431463692,0.48218159281066003,0.2561878316190178,0.4448955114917804,0.3931412044210309,0.39727300898667495,0.28669873675153507,0.3292659079353905
kodim04,0.7810431559438707,0.11614155855617334,0.740301399636016,0.07928826741034604,0.3742829406054188,0.4582119848204042,0.2668421121541825,0.5030676774421619,0.3971405877680699,0.38769746712558467,0.31507652827421867,0.38736792489885696
kodim20,0.8546429579452441,0.09173017217047699,0.567873451005915,0.10623988792091733,0.29532411327500235,0.5833098127763665,0.2832166278519657,0.4400097232786268,0.2696396650672688,0.5428544547934895,0.1834536981131089,0.4427907900686641
kodim15,0.7849542654470786,0.12152324061974985,0.687904899843661,0.08821130347030866,0.2537801008026881,0.6148963972372596,0.25479082462313923,0.4963555746113746,0.32994213179018106,0.4849729326115363,0.2910207005453566,0.38145421461848567
kodim12,0.7312308778536126,0.16568604377500587,0.709462515400891,0.08365088194469715,0.22934808190162392,0.6223817368792657,0.21859127984653695,0.5306172313226831,0.28936220287126385,0.5064721110849612,0.27763452710816755,0.38742143596088563
kodim05,0.8876606264138622,0.06075234963501947,0.7911068485486831,0.07638074197130192,0.2569556193008232,0.6178782154434572,0.2502105115931232,0.5613509278209267,0.31577228946570585,0.5039296625387719,0.2949074748028327,0.45127691337198184
kodim02,0.7616299203509177,0.1447535495786679,0.7028654047686534,0.09792408328630904,0.27346184924391087,0.5926353457231905,0.27352536581433506,0.5050279155278986,0.2750779175805148,0.5090615260302436,0.2946511924234111,0.4097796662618677
kodim13,0.8770230629172567,0.08365365162856565,0.8441889660476374,0.08034563098011717,0.1308415941735788,0.8000202306291726,0.1325804700400371,0.7613014318351466,0.17426158203520128,0.7062259761278575,0.1949998869008573,0.6307680562781334
kodim14,0.8747546270330903,0.062149467190128996,0.7929161365331462,0.07739766595007239,0.3078729669097027,0.5774326977005048,0.22372822796472602,0.603839446321239,0.3050336511497476,0.5121634885025238,0.250850041679463,0.48927302241916376
kodim21,0.866110365649111,0.08570949345857094,0.7714772259643499,0.07936529423231033,0.18035055350553506,0.7280694397853069,0.23891891013839855,0.5677319096402503,0.19582354914458236,0.650830258302583,0.27743605293365964,0.44507374759047885
